Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
3.4300       -1533.0593   -1533.1286       0.0693   134.0
3.4400       -1533.1761   -1533.2956       0.1195   231.1
3.4500       -1533.0676   -1533.2624       0.1947   376.6
3.4600       -1533.1005   -1533.2163       0.1158   224.0
3.4700       -1532.8702   -1533.2009       0.3307   639.5
3.4800       -1532.8611   -1533.1982       0.3371   652.0
3.4900       -1533.0460   -1533.3375       0.2915   563.8
3.5000       -1533.0058   -1533.2301       0.2244   433.9
3.5100       -1533.0168   -1533.2070       0.1902   367.8
3.5200       -1533.0258   -1533.3139       0.2881   557.1
3.5300       -1532.6890   -1533.0476       0.3587   693.7
3.5400       -1532.9490   -1533.1562       0.2071   400.6
3.5500       -1533.1588   -1533.2567       0.0978   189.2
3.5600       -1533.0571   -1533.2715       0.2144   414.7
3.5700       -1532.8786   -1533.1783       0.2997   579.6
3.5800       -1532.9234   -1533.0874       0.1639   317.1
3.5900       -1532.9723   -1533.2123       0.2400   464.2
3.6000       -1532.8143   -1533.1740       0.3597   695.8
3.6100       -1532.9477   -1533.1733       0.2256   436.3
3.6200       -1532.7569   -1533.1691       0.4123   797.4
3.6300       -1532.8782   -1532.9858       0.1076   208.0
3.6400       -1532.9484   -1533.1607       0.2123   410.6
3.6500       -1533.0455   -1533.2624       0.2169   419.5
3.6600       -1533.0474   -1533.2501       0.2028   392.2
3.6700       -1532.9380   -1533.2386       0.3005   581.3
3.6800       -1532.7569   -1533.1052       0.3483   673.7
3.6900       -1533.0079   -1533.1739       0.1660   321.1
3.7000       -1532.8297   -1532.9263       0.0965   186.7
3.7100       -1532.9602   -1533.0766       0.1164   225.1
3.7200       -1532.9338   -1533.1801       0.2463   476.3
3.7300       -1532.9600   -1533.1337       0.1738   336.1
3.7400       -1532.9739   -1533.1728       0.1988   384.5
3.7500       -1532.8782   -1532.9663       0.0882   170.5
3.7600       -1532.8841   -1533.2895       0.4054   784.1
3.7700       -1532.7977   -1533.0985       0.3008   581.8
3.7800       -1532.7861   -1533.0396       0.2535   490.3
3.7900       -1532.9419   -1533.1979       0.2560   495.2
3.8000       -1532.9049   -1533.1576       0.2527   488.7
3.8100       -1532.8587   -1533.0279       0.1692   327.3
3.8200       -1533.0215   -1533.1177       0.0962   186.0
3.8300       -1532.9447   -1533.1881       0.2435   470.9
3.8400       -1532.9652   -1533.0714       0.1062   205.3
3.8500       -1533.0328   -1533.1860       0.1532   296.2
3.8600       -1532.8853   -1533.1558       0.2705   523.1
3.8700       -1532.7885   -1533.0488       0.2604   503.6
3.8800       -1532.8802   -1533.1051       0.2249   435.0
3.8900       -1532.7865   -1533.0448       0.2583   499.5
3.9000       -1532.8009   -1532.9824       0.1815   351.0
3.9100       -1532.6889   -1533.0557       0.3668   709.4
3.9200       -1532.8328   -1533.0811       0.2483   480.2
3.9300       -1532.9879   -1533.1603       0.1725   333.6
3.9400       -1532.8711   -1533.1053       0.2342   453.0
3.9500       -1532.9529   -1533.1700       0.2171   419.9
3.9600       -1533.1272   -1533.2675       0.1404   271.5
3.9700       -1533.0352   -1533.2116       0.1764   341.2
3.9800       -1532.7092   -1532.9210       0.2117   409.5
3.9900       -1533.0309   -1533.1632       0.1323   255.8
4.0000       -1533.1069   -1533.1963       0.0894   173.0
4.0100       -1533.0052   -1533.1526       0.1474   285.2
4.0200       -1532.9267   -1533.0582       0.1315   254.4
4.0300       -1532.9502   -1533.0183       0.0681   131.7
4.0400       -1532.9131   -1533.0307       0.1176   227.5
4.0500       -1532.7265   -1533.0726       0.3461   669.4
4.0600       -1532.9072   -1533.0601       0.1529   295.7
4.0700       -1532.7822   -1532.8498       0.0677   130.9
4.0800       -1532.7284   -1532.9296       0.2012   389.2
4.0900       -1532.5136   -1533.0942       0.5807  1123.0
4.1000       -1532.9761   -1533.0346       0.0584   113.0
4.1100       -1532.9169   -1533.0021       0.0852   164.7
4.1200       -1532.9812   -1533.0573       0.0762   147.4
4.1300       -1532.8710   -1533.1982       0.3272   632.9
4.1400       -1532.9752   -1533.1701       0.1949   376.9
4.1500       -1532.7559   -1532.9286       0.1728   334.1
4.1600       -1532.7092   -1533.0748       0.3656   707.1
4.1700       -1532.7504   -1533.0239       0.2735   529.0
4.1800       -1532.8671   -1533.1332       0.2661   514.6
4.1900       -1532.7247   -1533.1913       0.4666   902.5
4.2000       -1532.8790   -1533.2249       0.3460   669.2
4.2100       -1532.7948   -1533.1160       0.3212   621.2
4.2200       -1532.7635   -1533.0243       0.2608   504.4
4.2300       -1532.7595   -1533.0351       0.2756   533.0
4.2400       -1532.8756   -1533.0453       0.1696   328.1
4.2500       -1532.8007   -1532.9720       0.1713   331.2
4.2600       -1532.6333   -1532.9689       0.3356   649.0
4.2700       -1532.6467   -1532.9975       0.3508   678.5
4.2800       -1532.7478   -1532.9238       0.1760   340.4
4.2900       -1532.7124   -1533.1368       0.4244   820.8
4.3000       -1532.9802   -1533.1142       0.1340   259.2
4.3100       -1533.0361   -1533.1809       0.1449   280.2
4.3200       -1532.9860   -1533.1038       0.1178   227.9
4.3300       -1532.9164   -1533.1250       0.2086   403.5
4.3400       -1532.7791   -1533.0005       0.2214   428.2
4.3500       -1532.8201   -1533.0460       0.2259   436.9
4.3600       -1532.5927   -1532.8411       0.2484   480.4
4.3700       -1533.0157   -1533.1529       0.1372   265.3
4.3800       -1532.6353   -1532.9488       0.3134   606.2
4.3900       -1532.8161   -1533.0706       0.2545   492.2
4.4000       -1532.8154   -1532.9616       0.1462   282.7
4.4100       -1532.7699   -1532.9567       0.1868   361.3
4.4200       -1532.7126   -1532.9578       0.2451   474.1
4.4300       -1532.7369   -1532.9574       0.2206   426.6
4.4400       -1532.6952   -1532.8959       0.2008   388.3
4.4500       -1532.9415   -1533.1635       0.2220   429.4
4.4600       -1532.7813   -1533.0557       0.2744   530.7
4.4700       -1532.8506   -1532.9750       0.1243   240.5
4.4800       -1532.8938   -1533.0427       0.1489   287.9
4.4900       -1532.8498   -1533.0269       0.1771   342.5
4.5000       -1532.6872   -1533.0214       0.3341   646.3
4.5100       -1532.8896   -1533.0027       0.1131   218.8
4.5200       -1532.6917   -1533.0628       0.3711   717.8
4.5300       -1532.7690   -1532.9377       0.1687   326.4
4.5400       -1532.8320   -1533.0362       0.2043   395.1
4.5500       -1532.5118   -1533.0242       0.5124   991.0
4.5600       -1532.8161   -1532.9526       0.1365   264.0
4.5700       -1532.6086   -1532.9099       0.3012   582.6
4.5800       -1532.8208   -1532.9418       0.1210   234.0
4.5900       -1532.6418   -1532.8936       0.2518   486.9
4.6000       -1532.6391   -1532.9278       0.2887   558.3
4.6100       -1532.8231   -1532.9378       0.1146   221.7
4.6200       -1532.7128   -1532.9322       0.2194   424.4
4.6300       -1532.5735   -1532.8689       0.2954   571.3
4.6400       -1532.5297   -1532.8226       0.2928   566.4
4.6500       -1532.7409   -1532.9062       0.1653   319.7
4.6600       -1532.6550   -1532.8601       0.2051   396.7
4.6700       -1532.5775   -1532.8486       0.2712   524.5
4.6800       -1532.4787   -1532.7338       0.2551   493.4
4.6900       -1532.5688   -1532.6949       0.1261   243.9
4.7000       -1532.7049   -1532.9258       0.2209   427.2
4.7100       -1532.6948   -1532.7765       0.0818   158.1
4.7200       -1532.7143   -1532.9211       0.2067   399.8
4.7300       -1532.6838   -1532.8887       0.2049   396.3
4.7400       -1532.6102   -1532.9714       0.3612   698.5
4.7500       -1532.6316   -1532.8169       0.1854   358.5
